“From”	“To”
"51"	"George Weasley"	"Lee Jordan"
"52"	"George Weasley"	"Ronald Weasley"
"53"	"Ginny Weasley"	"Fred Weasley"
"54"	"Ginny Weasley"	"George Weasley"
"55"	"Ginny Weasley"	"Ginny Weasley"
"56"	"Ginny Weasley"	"Harry James Potter"
"57"	"Ginny Weasley"	"Hermione Granger"
"58"	"Ginny Weasley"	"Luna Lovegood"
"59"	"Ginny Weasley"	"Neville Longbottom"
"60"	"Ginny Weasley"	"Ronald Weasley"
"61"	"Gregory Goyle"	"Draco Malfoy"
"62"	"Gregory Goyle"	"Gregory Goyle"
"63"	"Gregory Goyle"	"Pansy Parkinson"
"64"	"Gregory Goyle"	"Vincent Crabbe"
"65"	"Hannah Abbott"	"Anthony Goldstein"
"66"	"Hannah Abbott"	"Ernie Macmillan"
"67"	"Hannah Abbott"	"Hannah Abbott"
"68"	"Hannah Abbott"	"Harry James Potter"
"69"	"Hannah Abbott"	"Justin Finch-Fletchley"
"70"	"Hannah Abbott"	"Susan Bones"
"71"	"Hannah Abbott"	"Terry Boot"
"72"	"Harry James Potter"	"Alicia Spinnet"
"73"	"Harry James Potter"	"Angelina Johnson"
"74"	"Harry James Potter"	"Cho Chang"
"75"	"Harry James Potter"	"Ernie Macmillan"
"76"	"Harry James Potter"	"Fred Weasley"
"77"	"Harry James Potter"	"George Weasley"
"78"	"Harry James Potter"	"Ginny Weasley"
"79"	"Harry James Potter"	"Harry James Potter"
"80"	"Harry James Potter"	"Hermione Granger"
"81"	"Harry James Potter"	"Justin Finch-Fletchley"
"82"	"Harry James Potter"	"Katie Bell"
"83"	"Harry James Potter"	"Lee Jordan"
"84"	"Harry James Potter"	"Luna Lovegood"
"85"	"Harry James Potter"	"Neville Longbottom"
"86"	"Harry James Potter"	"Ronald Weasley"
"87"	"Hermione Granger"	"Fred Weasley"
"88"	"Hermione Granger"	"George Weasley"
"89"	"Hermione Granger"	"Ginny Weasley"
"90"	"Hermione Granger"	"Harry James Potter"
"91"	"Hermione Granger"	"Hermione Granger"
"92"	"Hermione Granger"	"Luna Lovegood"
"93"	"Hermione Granger"	"Neville Longbottom"
"94"	"Hermione Granger"	"Ronald Weasley"
"95"	"Justin Finch-Fletchley"	"Anthony Goldstein"
"96"	"Justin Finch-Fletchley"	"Ernie Macmillan"
"97"	"Justin Finch-Fletchley"	"Hannah Abbott"
"98"	"Justin Finch-Fletchley"	"Harry James Potter"
"99"	"Justin Finch-Fletchley"	"Justin Finch-Fletchley"
"100"	"Justin Finch-Fletchley"	"Susan Bones"
"101"	"Justin Finch-Fletchley"	"Terry Boot"
"102"	"Katie Bell"	"Alicia Spinnet"
"103"	"Katie Bell"	"Angelina Johnson"
"104"	"Katie Bell"	"Fred Weasley"
"105"	"Katie Bell"	"George Weasley"
"106"	"Katie Bell"	"Harry James Potter"
"107"	"Katie Bell"	"Katie Bell"
"108"	"Lee Jordan"	"Fred Weasley"
"109"	"Lee Jordan"	"George Weasley"
"110"	"Lee Jordan"	"Lee Jordan"
"111"	"Luna Lovegood"	"Ginny Weasley"
"112"	"Luna Lovegood"	"Harry James Potter"
"113"	"Luna Lovegood"	"Hermione Granger"
"114"	"Luna Lovegood"	"Luna Lovegood"
"115"	"Luna Lovegood"	"Neville Longbottom"
"116"	"Luna Lovegood"	"Ronald Weasley"
"117"	"Neville Longbottom"	"Ginny Weasley"
"118"	"Neville Longbottom"	"Harry James Potter"
"119"	"Neville Longbottom"	"Hermione Granger"
"120"	"Neville Longbottom"	"Luna Lovegood"
"121"	"Neville Longbottom"	"Neville Longbottom"
"122"	"Neville Longbottom"	"Ronald Weasley"
"123"	"Padma Patil"	"Harry James Potter"
"124"	"Pansy Parkinson"	"Draco Malfoy"
"125"	"Pansy Parkinson"	"Gregory Goyle"
"126"	"Pansy Parkinson"	"Pansy Parkinson"
"127"	"Pansy Parkinson"	"Vincent Crabbe"
"128"	"Parvati Patil"	"Parvati Patil"
"129"	"Percy Weasley"	"Harry James Potter"
"130"	"Percy Weasley"	"Percy Weasley"
"131"	"Percy Weasley"	"Ronald Weasley"
"132"	"Ronald Weasley"	"Fred Weasley"
"133"	"Ronald Weasley"	"George Weasley"
"134"	"Ronald Weasley"	"Ginny Weasley"
"135"	"Ronald Weasley"	"Harry James Potter"
"136"	"Ronald Weasley"	"Hermione Granger"
"137"	"Ronald Weasley"	"Luna Lovegood"
"138"	"Ronald Weasley"	"Neville Longbottom"
"139"	"Ronald Weasley"	"Ronald Weasley"
"140"	"Seamus Finnigan"	"Harry James Potter"
"141"	"Seamus Finnigan"	"Seamus Finnigan"
"142"	"Susan Bones"	"Anthony Goldstein"
"143"	"Susan Bones"	"Ernie Macmillan"
"144"	"Susan Bones"	"Hannah Abbott"
"145"	"Susan Bones"	"Harry James Potter"
"146"	"Susan Bones"	"Justin Finch-Fletchley"
"147"	"Susan Bones"	"Susan Bones"
"148"	"Susan Bones"	"Terry Boot"
"149"	"Terry Boot"	"Anthony Goldstein"
"150"	"Terry Boot"	"Ernie Macmillan"
"151"	"Terry Boot"	"Hannah Abbott"
"152"	"Terry Boot"	"Harry James Potter"
"153"	"Terry Boot"	"Hermione Granger"
"154"	"Terry Boot"	"Justin Finch-Fletchley"
"155"	"Terry Boot"	"Susan Bones"
"156"	"Terry Boot"	"Terry Boot"
"157"	"Vincent Crabbe"	"Draco Malfoy"
"158"	"Vincent Crabbe"	"Gregory Goyle"
"159"	"Vincent Crabbe"	"Pansy Parkinson"
"160"	"Vincent Crabbe"	"Vincent Crabbe"
