ego.id,alter.id,relation
OTNG-008-02,SP-306-01,1
OTNG-009-01,SP-177-02,3
OTNG-009-01,SP-860-02,3
OTNG-009-01,SP-359-02,3
OTNG-010-01,OTNG-013-02,1
OTNG-011-02,SP-570-01,3
OTNG-012-02,SP-861-01,3
OTNG-012-02,SP-156-01,3
OTNG-012-02,SP-014-01,3
OTNG-013-02,SP-812-01,3
OTNG-013-02,SP-269-01,3
OTNG-013-02,SP-156-01,3
OTNG-013-02,SP-014-01,3
OTNG-013-02,SP-833-01,3
OTNG-014-02,SP-390-01,1
OTNG-015-01,OTNG-016-02,1
OTNG-015-01,SP-462-02,3
OTNG-015-01,SP-697-02,3
OTNG-018-02,SP-080-01,2
OTNG-018-02,OTNG-010-01,3
OTNG-018-02,SP-307-01,3
OTNG-018-02,SP-279-01,3
OTNG-018-02,SP-326-01,2
OTNG-019-01,SP-298-02,3
OTNG-019-01,SP-502-02,3
OTNG-019-01,SP-431-02,3
OTNG-019-01,SP-561-02,2
OTNG-020-01,SP-653-02,1
OTNG-020-01,SP-475-02,3
OTNG-020-01,SP-263-02,3
OTNG-021-02,SP-096-01,1
OTNG-021-02,SP-272-01,3
OTNG-021-02,SP-265-01,3
OTNG-021-02,SP-453-01,3
OTNG-022-02,SP-268-01,1
OTNG-022-02,SP-010-01,3
OTNG-022-02,SP-013-01,3
OTNG-022-02,SP-193-01,3
OTNG-022-02,SP-075-01,3
OTNG-023-02,SP-604-01,1
OTNG-023-02,SP-600-01,3
OTNG-024-02,SP-557-01,2
OTNG-024-02,SP-596-01,3
OTNG-024-02,SP-140-01,3
OTNG-024-02,SP-719-01,4
OTNG-025-02,SP-197-01,1
OTNG-026-02,SP-867-01,1
OTNG-026-02,SP-798-01,2
OTNG-027-02,SP-583-01,2
OTNG-027-02,SP-164-01,3
OTNG-028-02,SP-223-01,2
OTNG-029-01,SP-380-02,2
OTNG-029-01,SP-905-02,3
OHA-002-01,SP-476-02,3
OHA-002-01,SP-550-02,1
OHA-003-02,OHA-050-01,1
OHA-004-01,OHA-042-02,1
OHA-005-02,SP-771-01,3
OHA-007-02,OHA-008-01,1
OHA-009-01,SP-173-02,3
OHA-010-01,OHA-049-02,1
OHA-011-02,OHA-012-01,1
OHA-013-02,SP-324-01,3
OHA-014-01,SP-290-02,3
OHA-014-01,OHA-053-02,3
OHA-015-01,OHA-024-02,1
OHA-016-02,SP-746-01,2
OHA-017-02,OHA-018-01,1
OHA-017-02,SP-752-01,3
OHA-017-02,SP-556-01,3
OHA-017-02,OHA-035-01,3
OHA-017-02,OHA-040-01,3
OHA-018-01,SP-084-02,3
OHA-018-01,SP-635-02,3
OHA-020-01,OHA-036-02,3
OHA-020-01,SP-373-02,3
OHA-021-02,SP-805-01,1
OHA-022-01,OHA-030-02,1
OHA-023-02,SP-625-01,3
OHA-023-02,SP-803-01,3
OHA-023-02,SP-170-01,2
OHA-025-01,SP-483-02,3
OHA-026-02,SP-229-01,2
OHA-026-02,SP-168-01,3
OHA-027-02,SP-726-01,3
OHA-027-02,SP-626-01,3
OHA-027-02,SP-544-01,3
OHA-028-02,SP-568-01,3
OHA-028-02,SP-261-01,3
OHA-028-02,SP-785-01,3
OHA-028-02,SP-127-01,3
OHA-029-02,SP-759-01,1
OHA-031-02,SP-552-01,2
OHA-031-02,SP-630-01,4
OHA-032-02,SP-506-01,2
OHA-032-02,SP-513-01,3
OHA-032-02,SP-400-01,3
OHA-032-02,SP-632-01,3
OHA-032-02,SP-643-01,3
OHA-032-02,SP-520-01,3
OHA-032-02,SP-613-01,3
OHA-033-01,SP-744-02,2
OHA-034-01,SP-642-02,1
OHA-035-01,SP-027-02,1
OHA-035-01,SP-906-02,4
OHA-037-01,OHA-038-02,1
OHA-038-02,OHA-050-01,3
OHA-039-02,SP-844-01,1
OHA-039-02,SP-829-01,3
OHA-039-02,SP-517-01,3
OHA-039-02,SP-406-01,3
OHA-039-02,SP-382-01,3
OHA-040-01,SP-084-02,1
OHA-041-01,SP-027-02,2
OHA-043-01,SP-199-02,2
OHA-045-02,SP-888-01,3
OHA-045-02,SP-021-01,3
OHA-045-02,RUW-007-01,3
OHA-046-01,OHA-047-02,1
OHA-046-01,KNB-005-02,3
OHA-046-01,SP-799-02,3
OHA-048-02,SP-126-01,1
OHA-049-02,SP-676-01,4
OHA-051-01,SP-185-02,3
OHA-052-02,SP-141-01,1
OHA-053-02,SP-564-01,2
OHA-053-02,SP-729-01,3
OHA-053-02,OHA-035-01,3
OHA-054-02,SP-037-01,1
OHA-055-01,SP-437-02,2
OHA-056-01,SP-572-02,2
OHA-057-02,SP-686-01,3
OHA-058-01,OHA-059-02,1
OHA-059-02,SP-072-01,3
OHA-060-02,SP-428-01,1
OHA-061-01,SP-301-02,2
OHA-062-01,SP-889-02,1
OHA-062-01,SP-637-02,3
OHA-063-02,SP-056-01,1
OHA-063-02,SP-455-01,2
OHA-064-02,SP-827-01,1
OHA-064-02,SP-470-01,4
OHA-064-02,SP-077-01,4
OHA-065-02,SP-244-01,1
JNG-001-01,SP-779-02,1
JNG-002-01,SP-891-02,2
JNG-003-01,SP-761-02,2
JNG-003-01,SP-510-02,3
JNG-004-01,JNG-006-02,2
JNG-004-01,SP-116-02,3
JNG-004-01,SP-816-02,3
JNG-005-01,JNG-006-02,3
JNG-005-01,SP-822-02,2
JNG-006-02,SP-447-01,2
JNG-006-02,JNG-002-01,3
MBD-001-02,SP-498-01,2
MBD-002-02,MBD-004-01,1
MBD-002-02,SP-907-01,3
MBD-002-02,SP-908-01,3
MBD-002-02,SP-909-01,3
MBD-002-02,SP-910-01,3
MBD-002-02,SP-911-01,3
MBD-002-02,SP-912-01,3
MBD-002-02,SP-913-01,3
MBD-002-02,SP-914-01,3
MBD-002-02,SP-915-01,3
MBD-002-02,SP-916-01,3
MBD-003-02,SP-616-01,3
MBD-003-02,SP-661-01,3
MBD-003-02,SP-548-01,3
MBD-003-02,SP-188-01,2
MBD-003-02,SP-467-01,3
MBD-003-02,SP-238-01,3
MBD-003-02,SP-256-01,3
ODW-001-02,SP-465-01,3
ODW-001-02,SP-026-01,3
ODW-002-01,ODW-005-02,1
ODW-002-01,SP-608-02,3
ODW-003-02,SP-639-01,1
ODW-005-02,SP-130-01,1
ODW-005-02,SP-121-01,1
ODW-005-02,SP-069-01,3
ODW-005-02,SP-917-01,3
ODW-005-02,SP-918-01,3
ODW-005-02,SP-919-01,3
ODW-005-02,SP-920-01,3
ODW-005-02,SP-921-01,3
ODW-005-02,SP-922-01,3
ODW-005-02,SP-923-01,3
ODW-005-02,SP-924-01,3
ODW-005-02,SP-925-01,3
ODW-006-02,SP-1055-01,2
ODW-006-02,SP-441-01,3
ODW-006-02,SP-524-01,3
ODW-007-02,SP-273-01,2
ODW-008-02,SP-695-01,3
ODW-008-02,SP-646-01,3
ODW-008-02,SP-246-01,3
ODW-008-02,SP-519-01,3
ODW-008-02,SP-217-01,3
ODW-008-02,SP-076-01,3
ODW-008-02,SP-809-01,3
ODW-008-02,SP-097-01,3
MUK-001-01,SP-678-02,1
MUK-001-01,SP-714-02,2
MUK-002-01,SP-212-02,2
MUK-003-01,SP-059-02,1
MUK-004-01,MUK-005-02,1
MUK-004-01,SP-008-02,3
MUK-006-02,SP-587-01,1
MUK-006-02,SP-593-01,3
MUK-006-02,SP-493-01,3
MUK-006-02,SP-641-01,3
MUK-006-02,SP-644-01,3
MUK-006-02,SP-350-01,3
MUK-006-02,SP-157-01,3
MUK-007-02,SP-784-01,3
MUK-008-02,SP-029-01,1
MUK-008-02,SP-007-01,1
MUK-009-02,SP-143-01,1
MUK-009-02,SP-555-01,3
MUK-009-02,SP-157-01,3
MUK-009-02,SP-227-01,3
MUK-009-02,SP-160-01,3
MUK-010-02,SP-787-01,1
MUK-010-02,SP-288-01,1
MUK-010-02,SP-143-01,3
MUK-010-02,SP-029-01,3
MUK-010-02,SP-007-01,3
MUK-011-01,SP-204-02,4
MUK-011-01,SP-228-02,3
MUK-011-01,SP-671-02,2
MUK-012-02,SP-857-01,1
MUK-014-01,MUK-015-02,1
MUK-015-02,SP-150-01,1
MUK-015-02,SP-926-01,3
MUK-015-02,SPS-927-01,3
MUK-015-02,SPS-928-01,3
MUK-015-02,SPS-929-01,3
MUK-015-02,SPS-930-01,3
TVG-001-01,SP-139-02,1
TVG-002-01,TVG-006-02,1
TVG-003-01,TVG-004-02,1
TVG-004-02,SP-136-01,2
TVG-004-02,SP-665-01,2
TVG-004-02,SP-585-01,4
TVG-005-02,SP-211-01,2
TVG-005-02,SP-601-01,4
TVG-005-02,SP-358-01,2
TVG-007-01,SP-049-02,1
TVG-007-01,SP-821-02,3
TVG-008-01,SP-387-02,1
TVG-008-01,SP-1054-02,2
TVG-009-01,SP-620-02,1
TVG-009-01,SP-003-02,3
TVG-009-01,SP-159-02,3
TVG-010-01,SP-221-02,1
TVG-010-01,SP-139-02,3
TVG-010-01,SP-1054-02,3
TVG-011-01,TVG-012-02,1
TVG-012-02,SP-155-01,1
TVG-013-02,SP-074-01,3
TVG-013-02,SP-337-01,3
TVG-013-02,SP-120-01,2
TVG-013-02,SP-849-01,3
TVG-014-02,SP-407-01,2
TVG-014-02,SP-535-01,3
TVG-014-02,SP-044-01,3
TVG-014-02,SP-448-01,3
TVG-014-02,SP-136-01,3
TVG-014-02,SP-817-01,3
TVG-014-02,SP-862-01,3
TAND-001-02,SP-703-01,1
TAND-001-02,SP-657-01,1
TAND-001-02,SP-074-01,1
TAND-001-02,SP-622-01,3
TAND-003-02,SP-094-01,4
TAND-003-02,SP-422-01,4
TAND-003-02,SP-010-01,4
TAND-005-02,SP-875-01,3
TAND-005-02,SP-073-01,3
TAND-006-02,SP-161-01,3
TAND-007-01,SP-571-02,1
TAND-008-01,SP-175-02,4
TAND-008-01,SP-689-02,4
TAND-009-01,SP-808-02,1
TAND-010-01,SP-135-02,1
TAND-010-01,MUK-008-02,3
TAND-011-01,SP-705-02,1
TAND-015-02,SP-454-01,3
TAND-016-02,SP-546-01,1
TAND-017-01,SP-207-02,3
TAND-017-01,SP-461-02,3
TAND-017-01,SP-174-02,2
TAND-017-01,SP-459-02,2
TAND-017-01,SP-215-02,3
TAND-018-01,SP-463-02,1
TAND-019-02,SP-673-01,1
TAND-019-02,SP-471-01,3
TAND-019-02,SP-160-01,3
TAND-019-02,SP-849-01,3
TAND-019-02,SP-044-01,3
TAND-019-02,SP-321-01,3
TAND-019-02,SP-589-01,3
TAND-019-02,SP-161-01,3
TAND-020-02,SP-103-01,3
TAND-020-02,SP-266-01,3
TAND-020-02,SP-191-01,3
TAND-020-02,SP-693-01,2
TAND-020-02,SP-780-01,2
TAND-020-02,SP-094-01,2
RHK-001-01,SP-002-02,1
RHK-002-01,SP-474-02,1
RHK-002-01,SP-594-02,4
OND-001-01,OKYG-037-02,2
OND-001-01,SP-408-02,3
OND-002-01,SP-001-02,3
OND-002-01,SP-108-02,3
OND-003-01,OKA-004-02,3
OND-004-01,SP-305-02,1
OND-005-02,SP-308-01,1
OND-005-02,SP-672-01,3
OND-006-02,SP-777-01,1
OND-006-02,SP-031-01,1
OND-007-02,SP-696-01,1
OND-007-02,SP-451-01,3
OND-008-02,SP-054-01,1
OND-008-02,SP-062-01,3
OND-008-02,SP-763-01,3
OND-008-02,SP-296-01,3
HUV-001-02,HUV-002-01,1
HUV-001-02,SP-367-01,3
HUV-001-02,SP-731-01,3
HUV-003-02,SP-163-01,2
HUV-004-02,SP-035-01,1
HUV-004-02,SP-093-01,3
HUV-004-02,SPS-931-01,4
HUV-004-02,SP-271-01,3
HUV-004-02,SP-243-01,3
HUV-004-02,SP-708-01,3
HUV-004-02,SPS-932-01,4
HUV-004-02,SP-371-01,3
HUV-004-02,SP-302-01,3
HUV-005-01,SP-386-02,1
HUV-006-02,SP-178-01,1
HUV-006-02,SP-046-01,1
HUV-007-01,SP-083-02,1
HUV-007-01,SP-274-02,3
HUV-007-01,SP-457-02,3
HUV-007-01,SP-598-02,3
HUV-008-01,SP-458-02,2
HUV-008-01,SP-460-02,2
HUV-009-02,SP-016-01,3
HUV-009-02,SP-333-01,2
HUV-009-02,SP-588-01,3
HUV-009-02,SP-508-01,3
HUV-009-02,SP-514-01,3
OMH-002-01,SP-685-02,1
OMH-002-01,SP-004-02,2
OMH-003-02,SP-597-01,4
OMH-004-01,SP-082-02,1
OMH-005-01,SP-142-02,1
OMH-005-01,SP-884-02,3
OMH-006-01,SP-797-02,1
OMH-006-01,SP-025-02,3
OMH-007-02,SP-840-01,1
OMH-007-02,SP-283-01,3
OMH-008-02,SP-830-01,3
OMH-008-02,SP-039-01,3
OMH-008-02,SP-378-01,3
OMH-008-02,SP-772-01,2
OMH-009-01,SP-618-02,2
OMH-010-01,SP-725-02,3
OMH-011-02,GRB-004-01,1
OMH-011-02,SP-085-01,1
OMH-011-02,SP-114-01,1
OMH-011-02,SP-006-01,3
OMH-012-02,SP-515-01,3
OMH-013-02,SP-149-01,1
OMH-013-02,SP-106-01,1
OMH-013-02,SP-009-01,1
OMH-013-02,OMH-015-01,1
OMH-013-02,SPS-933-01,3
OMH-013-02,SPS-934-01,3
OMH-013-02,SPS-935-01,3
OMH-014-02,SP-016-01,3
OMH-014-02,SP-093-01,3
OMH-014-02,OMH-010-01,3
OMH-014-02,SP-533-01,3
OMH-014-02,SP-098-01,3
OMH-014-02,SP-329-01,3
OMH-016-02,SP-118-01,1
OMH-016-02,SP-006-01,1
OMH-016-02,OMH-023-01,2
OMH-016-02,SP-018-01,3
OMH-018-02,SP-873-01,1
OMH-019-01,SP-649-02,3
OMH-020-01,SP-124-02,1
OMH-021-02,SP-883-01,3
OMH-021-02,SP-1053-01,3
OMH-021-02,OMH-020-01,3
OMH-021-02,SP-423-01,3
OMH-021-02,OMH-010-01,3
OMH-022-02,SP-516-01,1
OMH-023-01,SP-068-02,3
OMH-023-01,SP-208-02,3
OMH-023-01,ETG-019-02,3
OMH-023-01,OKYG-038-02,3
OMH-023-01,SP-850-02,3
OMH-023-01,SP-554-02,3
OMH-023-01,SP-413-02,3
OMH-023-01,OMH-024-02,3
OMH-023-01,OMH-011-02,3
OMH-023-01,SP-184-02,3
OMH-023-01,SP-698-02,3
OMH-023-01,SP-658-02,3
OMH-023-01,SP-416-02,3
OMH-023-01,SP-489-02,3
OMH-024-02,SP-030-01,1
OMH-024-02,SP-736-01,1
OMH-024-02,SP-756-01,3
OMH-024-02,SP-748-01,3
OMH-025-01,SP-057-02,1
OMH-025-01,SP-469-02,3
OMH-025-01,OMH-028-02,3
OMH-027-02,SP-079-01,3
OMH-027-02,SP-545-01,2
OMH-028-02,SP-097-01,3
OMH-028-02,SP-362-01,3
OMH-028-02,SP-366-01,3
OMH-028-02,SP-530-01,3
OMH-028-02,SP-694-01,3
OMH-028-02,SP-430-01,3
OMH-028-02,SP-529-01,3
OMH-028-02,SP-016-01,3
OMH-028-02,SP-846-01,3
OMH-028-02,SP-499-01,3
OMH-028-02,SP-111-01,3
OMH-028-02,SP-773-01,3
OMH-028-02,SP-069-01,3
OMH-028-02,SP-064-01,3
OMH-028-02,SP-576-01,3
OMH-028-02,SP-147-01,3
OMH-028-02,SP-877-01,3
OMH-028-02,SP-251-01,3
OMH-028-02,SPS-936-01,3
OMH-029-02,SP-640-01,1
OMH-029-02,SP-522-01,1
OMH-030-02,OMH-025-01,3
OMH-030-02,SP-119-01,3
OMH-031-02,SP-163-01,3
OMH-032-02,SP-562-01,1
OMH-032-02,SP-539-01,4
OMH-033-02,SP-757-01,1
OMH-033-02,SP-538-01,3
OMH-033-02,SP-093-01,3
OMH-033-02,OMH-010-01,3
OMH-033-02,SP-079-01,3
OMH-033-02,SP-615-01,3
OMH-034-02,SP-050-01,1
OMH-034-02,SP-727-01,1
OMH-035-02,SP-628-01,1
OMH-036-02,SP-385-01,2
OMH-036-02,SP-795-01,3
OMH-036-02,SP-477-01,3
OMH-036-02,SP-711-01,3
OKYG-001-02,SPS-937-01,3
OKYG-002-02,OKYG-024-01,2
OKYG-002-02,OKYG-005-01,3
OKYG-002-02,SP-760-01,3
OKYG-002-02,OKYG-019-01,3
OKYG-002-02,OKYG-016-01,3
OKYG-002-02,SP-507-01,3
OKYG-003-02,SP-542-01,1
OKYG-003-02,OKYG-049-01,3
OKYG-003-02,SP-099-01,2
OKYG-003-02,SPS-938-01,3
OKYG-003-02,SPS-939-01,3
OKYG-003-02,SPS-940-01,3
OKYG-003-02,SPS-941-01,3
OKYG-003-02,SPS-942-01,3
OKYG-003-02,SPS-943-01,3
OKYG-004-02,OKYG-050-01,1
OKYG-004-02,SP-769-01,3
OKYG-004-02,OKYG-009-01,3
OKYG-006-02,SP-038-01,4
OKYG-007-02,SP-768-01,1
OKYG-007-02,OKYG-049-01,3
OKYG-007-02,SP-323-01,3
OKYG-007-02,SP-486-01,3
OKYG-007-02,SP-580-01,3
OKYG-007-02,SP-181-01,3
OKYG-007-02,SP-737-01,3
OKYG-008-02,SP-105-01,1
OKYG-008-02,OKYG-016-01,3
OKYG-008-02,SP-236-01,3
OKYG-008-02,SP-617-01,3
OKYG-008-02,SP-031-01,3
OKYG-009-01,OKYG-047-02,1
OKYG-009-01,OKYG-008-02,3
OKYG-009-01,SP-749-02,3
OKYG-010-01,SP-762-02,2
OKYG-010-01,SP-043-02,3
OKYG-010-01,SP-750-02,3
OKYG-011-02,SP-088-01,1
OKYG-011-02,OKYG-044-01,3
OKYG-011-02,OKYG-009-01,3
OKYG-011-02,SP-332-01,3
OKYG-011-02,SP-868-01,3
OKYG-012-02,SP-434-01,1
OKYG-012-02,SP-062-01,3
OKYG-013-01,SP-200-02,1
OKYG-014-01,SPS-944-02,2
OKYG-015-01,SP-043-02,3
OKYG-015-01,OKYG-036-02,3
OKYG-015-01,SP-001-02,4
OKYG-016-01,SP-389-02,3
OKYG-016-01,SP-735-02,3
OKYG-016-01,SP-112-02,3
OKYG-017-01,OKYG-033-02,3
OKYG-018-01,SP-740-02,1
OKYG-018-01,SP-235-02,3
OKYG-019-01,OKYG-034-02,2
OKYG-020-02,SP-318-01,3
OKYG-020-02,SP-356-01,3
OKYG-020-02,SP-786-01,3
OKYG-021-01,SP-582-02,2
OKYG-022-01,SP-659-02,3
OKYG-022-01,SP-132-02,3
OKYG-023-02,SP-353-01,2
OKYG-023-02,SP-775-01,3
OKYG-023-02,SP-225-01,3
OKYG-023-02,SP-523-01,3
OKYG-023-02,SP-317-01,3
OKYG-025-02,SP-832-01,1
OKYG-025-02,SP-419-01,3
OKYG-025-02,SP-088-01,2
OKYG-025-02,OKYG-049-01,3
OKYG-025-02,OKYG-046-01,3
OKYG-025-02,SPS-945-01,4
OKYG-025-02,SP-442-01,3
OKYG-025-02,SP-742-01,3
OKYG-026-01,OKYG-008-02,1
OKYG-027-01,SP-492-02,3
OKYG-027-01,SP-412-02,3
OKYG-028-02,SP-765-01,3
OKYG-028-02,SP-553-01,3
OKYG-028-02,SP-325-01,3
OKYG-029-02,SP-688-01,3
OKYG-029-02,SP-045-01,3
OKYG-029-02,SP-078-01,3
OKYG-029-02,SP-575-01,3
OKYG-029-02,OKYG-027-01,2
OKYG-030-01,SP-043-02,3
OKYG-031-01,SP-609-02,2
OKYG-032-01,SP-187-02,2
OKYG-033-02,SP-129-01,3
OKYG-033-02,SP-681-01,3
OKYG-033-02,SP-372-01,3
OKYG-034-02,SP-739-01,3
OKYG-034-02,OKYG-044-01,3
OKYG-035-02,OTNG-005-01,2
OKYG-036-02,SP-398-01,3
OKYG-039-02,SP-172-01,3
OKYG-039-02,SP-334-01,3
OKYG-040-01,SP-169-02,2
OKYG-041-01,MUK-008-02,2
OKYG-041-01,SP-154-02,3
OKYG-042-01,SP-488-02,1
OKYG-043-02,SP-417-01,2
OKYG-044-01,SP-501-02,2
OKYG-045-01,SP-770-02,3
OKYG-045-01,SP-578-02,3
OKYG-046-01,SP-747-02,2
OKYG-046-01,OZJ-023-02,3
OKYG-048-02,OKYG-016-01,2
OKYG-049-01,SP-090-02,1
OKYG-051-01,OKYG-052-02,1
OKYG-052-02,SP-065-01,1
OKY-001-02,OKY-004-01,1
OKY-001-02,SP-101-01,3
OKY-001-02,SP-158-01,3
OKY-001-02,SP-034-01,3
OKY-002-02,SP-579-01,1
OKY-002-02,SP-800-01,3
OKY-002-02,SP-794-01,3
OKY-002-02,SP-792-01,3
OKY-002-02,SP-690-01,3
OKY-002-02,SP-758-01,3
OKY-002-02,SP-258-01,3
OKY-002-02,SP-117-01,3
OKY-002-02,SP-627-01,3
OKY-002-02,SP-364-01,3
OKY-003-02,SP-621-01,3
OKY-003-02,SP-776-01,3
OKY-003-02,SP-022-01,3
OKY-003-02,SP-032-01,3
OKY-003-02,SP-147-01,3
OKY-003-02,SP-137-01,3
OKY-004-01,SP-108-02,3
OKY-004-01,SP-890-02,3
OKY-004-01,SP-682-02,3
OKY-005-02,SP-232-01,1
OKY-005-02,SP-222-01,1
OKY-005-02,SP-511-01,1
OKY-005-02,SPS-946-01,3
OKY-005-02,SPS-947-01,3
OKY-005-02,SPS-948-01,3
OKY-005-02,SPS-949-01,3
OKY-005-02,SPS-950-01,3
OKY-005-02,SPS-951-01,3
OKY-005-02,SPS-952-01,3
OKY-005-02,SPS-953-01,3
OKY-005-02,SPS-954-01,3
OKY-005-02,SPS-955-01,3
OKY-005-02,SPS-956-01,3
OKY-005-02,SPS-957-01,3
OKY-005-02,SPS-958-01,3
OKY-005-02,SPS-959-01,3
OKY-005-02,SPS-960-01,3
OKY-005-02,SPS-961-01,3
OKY-005-02,SPS-962-01,3
OKY-005-02,SPS-963-01,3
